,,ohlc,ohlc,ohlc,ohlc
,,open,high,low,close
,timestamp,,,,
bnus,2021-02-24 08:40:00,50754.05,50754.05,50297.04,50658.05
bnus,2021-02-24 09:00:00,50661.48,50960.94,50362.72,50918.72
bnus,2021-02-24 09:20:00,50915.59,51238.24,50695.0,51238.24
bnus,2021-02-24 09:40:00,51228.84,51402.65,50864.1,50904.26
bnus,2021-02-24 10:00:00,50908.49,51042.97,50368.42,50557.56
bnus,2021-02-24 10:20:00,50555.03,50660.04,50178.57,50338.67
bnus,2021-02-24 10:40:00,50375.17,50620.44,50099.68,50111.98
bnus,2021-02-24 11:00:00,50113.4,50621.67,50113.4,50337.48
bnus,2021-02-24 11:20:00,50340.0,50905.69,50340.0,50625.04
bnus,2021-02-24 11:40:00,50636.0,50670.6,50246.9,50390.43
bnus,2021-02-24 12:00:00,50397.47,50955.83,50324.99,50787.35
bnus,2021-02-24 12:20:00,50756.53,51323.93,50756.53,51209.15
bnus,2021-02-24 12:40:00,51208.56,51208.56,50661.52,50744.2
bnus,2021-02-24 13:00:00,50758.51,51080.27,49567.66,49567.66
bnus,2021-02-24 13:20:00,49581.47,49971.09,49058.18,49269.17
bnus,2021-02-24 13:40:00,49354.88,49852.85,49311.83,49468.85
bnus,2021-02-24 14:00:00,49497.41,49794.69,49180.38,49631.2
bnus,2021-02-24 14:20:00,49646.97,49681.3,49143.62,49350.25
bnus,2021-02-24 14:40:00,49350.25,49450.93,48757.06,49434.82
bnus,2021-02-24 15:00:00,49426.74,49660.45,48677.88,48756.5
bnus,2021-02-24 15:20:00,48740.39,49593.0,48452.03,49418.04
bnus,2021-02-24 15:40:00,49401.48,49892.5,49148.14,49844.79
bnus,2021-02-24 16:00:00,49847.29,50141.0,49571.0,49587.96
bnus,2021-02-24 16:20:00,49594.64,49877.72,49410.96,49764.21
bnus,2021-02-24 16:40:00,49756.11,49818.06,49335.8,49341.98
bnus,2021-02-24 17:00:00,49337.75,49978.47,49337.75,49883.94
bnus,2021-02-24 17:20:00,49880.7,49970.51,49657.21,49788.29
bnus,2021-02-24 17:40:00,49760.84,50084.5,49738.15,50084.5
bnus,2021-02-24 18:00:00,50065.13,50084.5,49575.32,49596.98
bnus,2021-02-24 18:20:00,49591.55,49997.5,49546.01,49918.69
bnus,2021-02-24 18:40:00,49931.22,49931.36,49583.25,49599.14
bnus,2021-02-24 19:00:00,49601.14,49744.85,49370.52,49516.91
bnus,2021-02-24 19:20:00,49529.35,49601.02,48865.97,48893.22
bnus,2021-02-24 19:40:00,48889.23,49200.0,48872.0,48982.64
bnus,2021-02-24 20:00:00,48996.32,49272.2,48855.6,48924.04
bnus,2021-02-24 20:20:00,48915.19,49025.26,48591.66,48871.84
bnus,2021-02-24 20:40:00,48871.84,49223.15,48660.59,49174.6
bnus,2021-02-24 21:00:00,49142.58,49180.95,48228.39,48241.88
bnus,2021-02-24 21:20:00,48259.39,48555.69,48135.88,48423.65
bnus,2021-02-24 21:40:00,48426.19,48895.81,48142.97,48790.7
bnus,2021-02-24 22:00:00,48744.47,48744.47,48054.15,48320.0
bnus,2021-02-24 22:20:00,48321.78,48945.74,48276.24,48681.65
bnus,2021-02-24 22:40:00,48677.13,48900.0,48500.0,48852.09
bnus,2021-02-24 23:00:00,48829.4,49545.44,48753.08,49200.0
bnus,2021-02-24 23:20:00,49163.12,49750.0,49163.12,49592.51
bnus,2021-02-24 23:40:00,49622.03,49770.84,49472.29,49714.5
btrx,2021-02-24 00:00:00,48906.607,49070.307,47607.712,47791.94
btrx,2021-02-24 00:20:00,47770.978,47772.159,46958.22,47701.091
btrx,2021-02-24 00:40:00,47754.24,48488.0,47660.728,48488.0
btrx,2021-02-24 01:00:00,48488.0,49000.0,48453.81,49000.0
btrx,2021-02-24 01:20:00,48999.999,49350.321,48761.936,49282.62
btrx,2021-02-24 01:40:00,49287.02,50229.466,49282.62,50199.989
btrx,2021-02-24 02:00:00,50188.392,50600.0,49861.58,50077.394
btrx,2021-02-24 02:20:00,50116.746,50490.058,49838.017,50387.521
btrx,2021-02-24 02:40:00,50335.46,50444.05,50051.444,50230.77
btrx,2021-02-24 03:00:00,50213.589,50554.23,50105.146,50523.362
btrx,2021-02-24 03:20:00,50407.57,50534.135,50252.061,50534.135
btrx,2021-02-24 03:40:00,50576.389,50999.99,50365.034,50949.591
btrx,2021-02-24 04:00:00,50999.999,51386.269,50949.57,51026.35
btrx,2021-02-24 04:20:00,51039.411,51150.859,50642.071,50642.486
btrx,2021-02-24 04:40:00,50650.826,51002.277,50400.0,50662.379
btrx,2021-02-24 05:00:00,50676.453,51030.517,50266.74,50275.751
btrx,2021-02-24 05:20:00,50275.751,50542.146,50000.0,50505.12
btrx,2021-02-24 05:40:00,50509.338,50547.73,50240.6,50244.01
btrx,2021-02-24 06:00:00,50226.75,50709.49,49504.22,49713.24
btrx,2021-02-24 06:20:00,49676.055,50157.63,49593.433,49873.569
btrx,2021-02-24 06:40:00,49870.863,50400.0,49755.512,50119.51
btrx,2021-02-24 07:00:00,50114.94,50173.291,49551.014,49718.12
btrx,2021-02-24 07:20:00,49710.757,50204.554,49640.01,50167.68
btrx,2021-02-24 07:40:00,50129.95,50346.99,50014.839,50105.15
btrx,2021-02-24 08:00:00,50105.15,50921.529,49840.0,50790.412
btrx,2021-02-24 08:20:00,50788.69,50902.55,50574.26,50694.68
btrx,2021-02-24 08:40:00,50759.53,50759.53,50346.138,50679.16
btrx,2021-02-24 09:00:00,50699.12,51000.0,50356.99,50915.449
btrx,2021-02-24 09:20:00,50935.92,51237.741,50734.766,51237.741
btrx,2021-02-24 09:40:00,51243.587,51408.635,50946.6,50980.189
btrx,2021-02-24 10:00:00,50981.64,51088.359,50433.4,50618.161
btrx,2021-02-24 10:20:00,50550.459,50699.0,50232.81,50377.946
btrx,2021-02-24 10:40:00,50379.487,50621.66,50142.85,50159.45
btrx,2021-02-24 11:00:00,50128.489,50648.167,50128.489,50347.44
btrx,2021-02-24 11:20:00,50364.95,50914.526,50364.94,50650.207
btrx,2021-02-24 11:40:00,50626.38,50715.528,50266.467,50401.6
btrx,2021-02-24 12:00:00,50397.3,50940.74,50391.132,50776.5
btrx,2021-02-24 12:20:00,50790.07,51300.0,50790.07,51186.95
btrx,2021-02-24 12:40:00,51124.79,51199.451,50678.579,50774.399
btrx,2021-02-24 13:00:00,50761.77,51089.154,49675.55,49684.376
btrx,2021-02-24 13:20:00,49684.376,50000.0,49093.667,49295.59
btrx,2021-02-24 13:40:00,49297.639,49878.08,49294.65,49514.992
btrx,2021-02-24 14:00:00,49511.505,49804.57,49187.039,49677.06
btrx,2021-02-24 14:20:00,49670.309,49713.864,49150.35,49341.498
btrx,2021-02-24 14:40:00,49409.878,49473.15,48767.13,49473.137
btrx,2021-02-24 15:00:00,49445.43,49670.727,48728.815,48783.261
btrx,2021-02-24 15:20:00,48763.864,49577.914,48518.63,49439.91
btrx,2021-02-24 15:40:00,49400.01,49877.059,49199.478,49877.058
btrx,2021-02-24 16:00:00,49860.121,50149.734,49606.79,49606.79
btrx,2021-02-24 16:20:00,49613.04,49860.092,49468.013,49800.83
btrx,2021-02-24 16:40:00,49781.71,49820.939,49360.01,49360.01
