timestamp,bfly,bfnx,bnus,btrx,cbse,gmni,itbi,krkn,lmax,okcn,stmp,vwap global
2021-02-24 08:45:00,50767.445,50420.95861724316,50420.27446384229,50470.51863949659,50440.4715571643,50466.094751410514,50468.38001856391,50474.36724408494,50424.33178633976,50436.847002275936,50493.41180146056,50449.20155822538
2021-02-24 08:50:00,50787.9425,50551.11185091458,50606.511058433935,50617.65598129032,50611.79847129781,50555.806510742776,50583.502291693774,50641.17028836611,50616.99253215078,50579.66215774769,50595.08990191235,50597.24280342521
2021-02-24 08:55:00,50808.44,50638.12732154009,50671.89930232164,50712.306304415404,50683.66558658196,50721.28128394295,50696.674905215725,50684.89224046142,50680.62999008921,50720.33295815477,50701.69457488945,50681.46689365273
2021-02-24 09:00:00,50828.9375,50503.26238105478,50525.221639474286,50578.029334315404,50543.342755174046,50559.59631371786,50583.83870250653,50566.26705327263,50555.748319139406,50522.91963168664,50593.11947970755,50557.06687532143
2021-02-24 09:05:00,50849.435,50477.33380011124,50511.300318860674,50517.71305192392,50530.101766479966,50538.799128827035,50514.72041610663,50542.521464008976,50549.93086500284,50555.87892280939,50547.59108269907,50531.48437280136
2021-02-24 09:10:00,50869.9325,50427.110959805636,50501.24073927182,50464.00203168657,50520.307676066535,50478.09704727268,50525.52880513916,50526.27544038309,50509.77572953737,50473.788888984585,50519.347296956665,50491.24309308106
2021-02-24 09:15:00,50890.43,50714.16956791589,50795.949010643395,50860.40420455831,50847.94676674356,50819.658535268296,50782.5929034245,50774.58491248167,50846.98990663346,50801.61942756972,50820.90432736069,50812.29142927455
2021-02-24 09:20:00,50900.0,50806.48080768575,50869.2821276943,50910.45995487417,50877.76617486025,50908.659830784185,50884.55577194265,50889.10361814128,50897.75567874527,50878.77036916161,50910.31579180794,50874.8053695389
2021-02-24 09:25:00,50903.675,50694.202800811196,50811.77994037074,50816.609260405035,50802.5114381913,50805.840332684915,50807.919065835056,50845.607350249054,50831.387972915785,50809.57474136434,50829.95227870147,50797.85980375071
2021-02-24 09:30:00,50907.35,50824.85401480675,50884.574273375896,50950.54923113976,50902.65883242751,50887.95333215557,50886.38231342663,50996.39667403939,50901.818334036274,50881.495277803515,50940.28390620927,50921.56077313868
2021-02-24 09:35:00,50846.85,50913.29436540094,51058.46977977729,51066.90483784137,51086.47914580185,51042.732229568224,51120.607646627825,51070.67921043952,51018.45847414234,50920.832004797805,51077.12892708434,50969.5287093731
2021-02-24 09:40:00,50819.34181818182,51201.45304757013,51243.78289821538,51273.93784410668,51274.859023018456,51324.514746053486,51265.816425363126,51263.536513741936,51311.87674486094,51299.95822149547,51288.13425534561,51261.613802665146
2021-02-24 09:45:00,50791.83363636363,51083.618154064316,51145.75505411973,51264.16259313376,51158.118218194955,51152.28634918015,51177.55293471401,51208.57029208815,51169.16082729806,51197.149397466594,51171.00752131174,51164.21262725318
2021-02-24 09:50:00,50764.325454545455,50840.26590433797,50947.76710050775,51000.00928549819,50938.383843471616,50983.450222295,50957.377153181274,50970.966513092935,50947.89905471126,50953.19001662709,50946.604681875935,50927.78474868472
2021-02-24 09:55:00,50736.817272727276,50805.54707852888,50894.98544166302,50979.163075803706,50902.736172359364,50900.64909987781,50922.8811416004,50912.60398445068,50927.231928166344,50911.46889335007,50905.245674264705,50897.447989125816
2021-02-24 10:00:00,50709.30909090909,50880.24916506861,50947.159321150815,50993.115950852305,50956.62323262378,50967.41576885192,50981.83379637932,50927.66825270315,51000.09087875418,50970.5700400424,50969.07206800511,50935.02119707179
2021-02-24 10:05:00,50681.80090909091,50746.44774701291,50862.23047242923,50967.67136927665,50892.09885408241,50880.60877817275,50829.08510710693,50921.51468922164,50868.100619269346,50864.87011402069,50901.26002014736,50843.537562931735
2021-02-24 10:10:00,50654.292727272725,50701.34182010696,50790.63764580531,50860.524600219964,50761.43282123959,50768.56783906303,50852.4330913721,50752.94581007548,50793.76175438597,50781.26459736307,50814.15224504998,50750.62984364865
2021-02-24 10:15:00,50626.784545454546,50405.68166910161,50501.71587054771,50565.31161918716,50464.04348655461,50533.09008080233,50573.15224763855,50579.96311567366,50504.63612713936,50586.06481374172,50575.122191919625,50487.25878936938
2021-02-24 10:20:00,50599.27636363637,50397.760898274704,50471.27627083029,50448.65134001069,50510.09083585082,50532.72641734668,50560.23986858104,50517.72326725365,50478.02786818551,50582.06365285527,50531.4339241229,50499.03482774439
2021-02-24 10:25:00,50571.76818181818,50326.11698077096,50368.422999521754,50424.368645511146,50449.76973544426,50382.49663085255,50381.74736783748,50395.62990249419,50409.9921611111,50401.11538490566,50385.95362982367,50393.433418918175
2021-02-24 10:30:00,50544.26,50446.56471841375,50557.87750195928,50597.046044040886,50578.78522002067,50564.927804164065,50595.043257466816,50576.86449856972,50572.81566753144,50604.16150271575,50569.62235384126,50531.804909335086
2021-02-24 10:35:00,50486.11,50281.587573715464,50354.5459517347,50393.092900158925,50355.12715650968,50343.84848503836,50345.8496415409,50371.563567729565,50347.32705156725,50388.587728602775,50328.87369152498,50344.58942821505
2021-02-24 10:40:00,50488.09428571429,50398.114234430046,50512.387621579044,50469.4983859386,50498.755496544414,50506.02304480954,50493.56983006247,50555.96186515751,50497.82321214542,50493.131470342516,50522.90197085327,50491.7166901675
2021-02-24 10:45:00,50490.078571428574,50452.6637291501,50535.48641220177,50567.86278506768,50548.36263424636,50523.85676945598,50586.69106425161,50556.81135773414,50562.4134673698,50561.69365605658,50562.27887321289,50528.616671723
2021-02-24 10:50:00,50492.06285714286,50411.6672879931,50466.89549159169,50477.15081460333,50502.52043878938,50485.136968673265,50498.72005516596,50525.22379840219,50496.67360465116,50474.02963859829,50494.225255717996,50486.69230134036
2021-02-24 10:55:00,50494.04714285715,50202.50669360751,50222.47357678267,50250.82973946424,50287.3102119013,50310.48678786039,50275.6898645804,50259.53829526974,50287.65065486725,50307.36671318054,50265.349770539615,50260.57100330738
2021-02-24 11:00:00,50496.031428571434,50284.40012645297,50291.78301257401,50377.95018903657,50349.07454806288,50380.47371205693,50306.69196115791,50414.05322757036,50330.807409902336,50332.10817345295,50319.66538608317,50342.99736234783
2021-02-24 11:05:00,50498.01571428572,50465.21775850425,50566.50948650086,50566.60648631435,50528.25064449298,50560.283152752265,50578.05588990142,50568.26263317875,50572.82041418588,50543.360864703114,50541.34633249169,50529.434730316105
2021-02-24 11:10:00,50500.00000000001,50490.76249259632,50507.64166062181,50580.90775401259,50518.22525808837,50551.610704796294,50558.32014032994,50535.64491436779,50537.741462663595,50529.23642939482,50556.697940935104,50516.474078585794
